"","kommunenummer","KomNavn","area_t0","area_t1","area_t2","pop_t0","pop_t1","pop_t2","km2_change_2000_2022","km2_change_2022_2050","pop_change_2000_2022","pop_change_2022_2050","bpc_t0","bpc_t1","bpc_t2","AGR_pop_1","AGR_pop_2","AGR_bpc_1","AGR_bpc_2","combined_change_class_1","combined_change_class_2","category_1","category_2","BPC_ratio","BPC_ratio_t_1_2","pop_change_class_norsk","pop_change_class_t_1_2_norsk","bpc_change_class_norsk","bpc_change_class_t_1_2_norsk"
"23",5616,"Hasvik",218504.347826088,218504.348826088,218504.349826088,1200,964,1189,0,0,-236,225,182.08695652174,226.664262267726,183.771530551798,-0.990451225277422,0.752015691578145,1.00035931719433,-0.746402610480101,"pop_Nedgang_bpc_Moderat økning","pop_Vekst_bpc_Liten endring","b) Stillstand i utbygd areal","g) Arealeffektiv vekst",1.24481328370527,0.810765352743323,"Nedgang","Vekst","Moderat økning","Liten endring"
"24",1859,"Flakstad",176654.347826086,214963.04347826,263719.565217391,1575,1216,1324,0.038308695652174,0.048756521739131,-359,108,112.161490683229,176.778818649885,199.183961644555,-1.16897058824843,0.30435749395239,2.08952954662669,0.427086171222957,"pop_Nedgang_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","c) Nedgang-spredning","e) Moderat arealvekst",1.57610974651853,1.12674110600911,"Nedgang","Stabil","Sterk økning","Moderat økning"
"25",3105,"Sarpsborg",19541318.4782608,24391046.7391304,30563428.1620553,47447,58182,66973,4.8497282608696,6.1723814229249,10735,8791,411.855722769844,419.219805766911,456.354473624525,0.931414232632011,0.503813193937486,0.0805882635619648,0.303583038141486,"pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Liten endring","g) Arealeffektiv vekst","g) Arealeffektiv vekst",1.0178802492959,1.08858042331679,"Vekst","Vekst","Liten endring","Liten endring"
"26",1525,"Stranda",2762657.60869566,2762657.60969566,2762657.61069566,4677,4467,4298,0,0,-210,-169,590.690102351007,618.45928132878,642.777480385216,-0.208599566128298,-0.137645339461434,0.209035615159903,0.137835064296321,"pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",1.04701141743742,1.03932061461538,"Stabil","Stabil","Liten endring","Liten endring"
"27",5534,"Karlsøy",2584672.82608696,2717188.04347826,2885843.77470356,2496,2179,2541,0.1325152173913,0.1686557312253,-317,362,1035.52597198997,1246.98854680049,1135.71183577472,-0.61547719748164,0.550407953435261,0.848222643760255,-0.333271483703124,"pop_Nedgang_bpc_Moderat økning","pop_Vekst_bpc_Liten endring","b) Stillstand i utbygd areal","g) Arealeffektiv vekst",1.2042078909949,0.910763646297089,"Nedgang","Vekst","Moderat økning","Liten endring"
"28",3218,"Ås",5119356.52173909,7191704.34782606,9829237.94466405,13568,20780,28182,2.07234782608697,2.63753359683799,7212,7402,377.311064397044,346.087793446875,348.777160764461,1.95651603620406,1.09412976112075,-0.391855102604244,0.0276492834023978,"pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Liten endring","g) Arealeffektiv vekst","g) Arealeffektiv vekst",0.917247931756084,1.00777076617121,"Vekst","Vekst","Liten endring","Liten endring"
"29",3411,"Ringsaker",7928735.86956517,11229055.4347826,15429462.1541501,31622,35073,38036,3.30031956521743,4.2004067193675,3451,2963,250.734800757864,320.162388013076,405.654173786678,0.471921525894081,0.290068014006462,1.11725206781841,0.848841970454517,"pop_Vekst_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","h) Proporsjonal vekst","e) Moderat arealvekst",1.27689649400626,1.26702632468531,"Vekst","Stabil","Sterk økning","Moderat økning"
"30",4227,"Kvinesdal",1628413.04347825,2152526.08695652,2819579.05138339,5554,5883,6174,0.52411304347827,0.66705296442687,329,291,293.196442830077,365.889186972042,456.685949365628,0.261926279057079,0.172577637660032,1.01184709147497,0.794804197222065,"pop_Stabil_bpc_Moderat økning","pop_Stabil_bpc_Moderat økning","e) Moderat arealvekst","e) Moderat arealvekst",1.24793187611793,1.24815371873923,"Stabil","Stabil","Moderat økning","Moderat økning"
"31",3305,"Ringerike",8897703.26086955,11478688.0434783,14763577.7667984,27917,31011,35080,2.58098478260875,3.2848897233201,3094,4069,318.719893286154,370.148916303192,420.854554355713,0.478898333685329,0.441289352298879,0.682284123079668,0.459559522951025,"pop_Vekst_bpc_Moderat økning","pop_Vekst_bpc_Moderat økning","i) Rask vekst i utbygd areal","i) Rask vekst i utbygd areal",1.16136119552119,1.13698713090649,"Vekst","Vekst","Moderat økning","Moderat økning"
"32",4611,"Etne",1755733.69565216,2267422.82608695,2918663.53754941,3917,4043,3783,0.51168913043479,0.65124071146246,126,-260,448.234285333715,560.82681822581,771.520892823,0.14401695028996,-0.237110038316846,1.02382422468756,1.14562543928276,"pop_Stabil_bpc_Moderat økning","pop_Stabil_bpc_Sterk økning","e) Moderat arealvekst","f) Ekspansjon i utbygd areal",1.25119125550217,1.37568473501985,"Stabil","Stabil","Moderat økning","Sterk økning"
