"kommunenummer","KomNavn","area_t0","area_t1","area_t2","pop_t0","pop_t1","pop_t2","km2_change_2000_2022","km2_change_2022_2050","pop_change_2000_2022","pop_change_2022_2050","bpc_t0","bpc_t1","bpc_t2","AGR_pop_1","AGR_pop_2","AGR_bpc_1","AGR_bpc_2","APOP","ABPC","APOP_t_1_2","ABPC_t_1_2","pop_change_class_norsk","pop_change_class_t_1_2_norsk","bpc_change_class_norsk","bpc_change_class_t_1_2_norsk","combined_change_class_1","combined_change_class_2","category_1","category_2","BPC_ratio","BPC_ratio_t_1_2","Kyst","iFylke","SSB_Sentralitet","BefUtvSiste10y","SyssUtvSiste10y","Herfindahlsindeksen_omvendt","SSB_Sentr_Kl","Herfindahlsindeksen","rSkog","rDyrketMark","rUrbant","SHAPE_Length","SHAPE_Area","kommunenavn","arealnoytral","arealnoytral_cat"
3320,"Flå",622349.999999997,741971.739130433,894217.588932807,1102,1057,1311,0.119621739130436,0.152245849802374,-45,254,564.745916515424,701.960018098801,682.088168522355,-0.189329653243941,0.772092155824833,0.993541920519481,-0.102509991440747,-28367.6241611733,147989.363291609,175671.538185642,-23425.6883832681,"Stabil","Vekst","Moderat økning","Liten endring","pop_Stabil_bpc_Moderat økning","pop_Vekst_bpc_Liten endring","e) Moderat arealvekst","g) Arealeffektiv vekst",1.2429660800914,0.971690909647151,0,33,617,4.5,18.8,0.914050974,5,0.085949026,67.0808070768313,1.01239581410539,0.00993936984395189,134841.428656563,705294145.216558,"Flå",0,"0"
1865,"Vågan",1029707.60869566,1029707.60969566,1029707.61069566,9229,9724,10431,0,0,495,707,111.573042441831,105.893419343445,98.7160972769303,0.237765652413557,0.250975436098044,-0.237201663915487,-0.250347122846317,53798.4656522691,-53798.4646522691,72270.1098094933,-72270.1088094935,"Stabil","Stabil","Liten endring","Liten endring","pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",0.949095023546147,0.932221264446693,1,18,650,5.7,8.8,0.947580478,5,0.052419522,7.86803353912898,0.468254630402136,0.121495911897213,1085972.20944979,478802112.123291,"Vågan",0,"0"
5616,"Hasvik",218504.347826088,218504.348826088,218504.349826088,1200,964,1189,0,0,-236,225,182.08695652174,226.664262267726,183.771530551798,-0.990451225277422,0.752015691578145,1.00035931719433,-0.746402610480101,-47849.292019214,47849.293019214,45837.1010492969,-45837.1000492968,"Nedgang","Vekst","Moderat økning","Liten endring","pop_Nedgang_bpc_Moderat økning","pop_Vekst_bpc_Liten endring","b) Stillstand i utbygd areal","g) Arealeffektiv vekst",1.24481328370527,0.810765352743323,1,56,351,-5.2,-12.3,0.81208595,6,0.18791405,1.29646620354804,0.000569875254306832,0.0245046359351938,602662.700190554,556193950.379767,"Hasvik",0,"0"
1859,"Flakstad",176654.347826086,214963.04347826,263719.565217391,1575,1216,1324,0.038308695652174,0.048756521739131,-359,108,112.161490683229,176.778818649885,199.183961644555,-1.16897058824843,0.30435749395239,2.08952954662669,0.427086171222957,-50491.4719796274,88800.1676318015,20295.0884766576,28461.4332624734,"Nedgang","Stabil","Sterk økning","Moderat økning","pop_Nedgang_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","c) Nedgang-spredning","e) Moderat arealvekst",1.57610974651853,1.12674110600911,1,18,522,-11.3,-7.9,0.846114922,6,0.153885078,1.2038508613288,0.420160391662556,0.038362470543103,298454.755561467,178327368.936982,"Flakstad",1,"1"
3105,"Sarpsborg",19541318.4782608,24391046.7391304,30563428.1620553,47447,58182,66973,4.8497282608696,6.1723814229249,10735,8791,411.855722769844,419.219805766911,456.354473624525,0.931414232632011,0.503813193937486,0.0805882635619648,0.303583038141486,4462023.95539791,387704.305471689,3850105.12034633,2322276.30257857,"Vekst","Vekst","Liten endring","Liten endring","pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Liten endring","g) Arealeffektiv vekst","g) Arealeffektiv vekst",1.0178802492959,1.08858042331679,1,31,877,9.9,25.9,0.946597644,2,0.053402356,57.6298967382396,17.9057297398553,3.77221532769804,190537.671120522,405755814.777106,"Sarpsborg",0,"0"
1525,"Stranda",2762657.60869566,2762657.60969566,2762657.61069566,4677,4467,4298,0,0,-210,-169,590.690102351007,618.45928132878,642.777480385216,-0.208599566128298,-0.137645339461434,0.209035615159903,0.137835064296321,-126916.005032898,126916.006032898,-106548.062400123,106548.063400122,"Stabil","Stabil","Liten endring","Liten endring","pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",1.04701141743742,1.03932061461538,1,15,628,-4.1,1.5,0.877271576,5,0.122728424,24.8917267596387,1.54918093543844,0.132363374524816,278224.401751469,868877583.957419,"Stranda",0,"0"
5534,"Karlsøy",2584672.82608696,2717188.04347826,2885843.77470356,2496,2179,2541,0.1325152173913,0.1686557312253,-317,362,1035.52597198997,1246.98854680049,1135.71183577472,-0.61547719748164,0.550407953435261,0.848222643760255,-0.333271483703124,-359983.381127233,492498.598518533,430439.526231574,-261783.795006274,"Nedgang","Vekst","Moderat økning","Liten endring","pop_Nedgang_bpc_Moderat økning","pop_Vekst_bpc_Liten endring","b) Stillstand i utbygd areal","g) Arealeffektiv vekst",1.2042078909949,0.910763646297089,1,55,452,-6.3,3,0.841505362,6,0.158494638,6.89027640933031,0.125044309786113,0.0092108531762092,1078268.3219105,1091458421.33821,"Karlsøy",1,"1"
3218,"Ås",5119356.52173909,7191704.34782606,9829237.94466405,13568,20780,28182,2.07234782608697,2.63753359683799,7212,7402,377.311064397044,346.087793446875,348.777160764461,1.95651603620406,1.09412976112075,-0.391855102604244,0.0276492834023978,2598986.42680163,-526638.600714664,2572187.0452388,65346.5515991915,"Vekst","Vekst","Liten endring","Liten endring","pop_Vekst_bpc_Liten endring","pop_Vekst_bpc_Liten endring","g) Arealeffektiv vekst","g) Arealeffektiv vekst",0.917247931756084,1.00777076617121,1,32,895,21.5,42.5,0.917621673,2,0.082378327,46.8659594985535,36.5091610414658,4.49373191899711,81108.6348935598,102740224.096838,"Ås",1,"1"
3411,"Ringsaker",7928735.86956517,11229055.4347826,15429462.1541501,31622,35073,38036,3.30031956521743,4.2004067193675,3451,2963,250.734800757864,320.162388013076,405.654173786678,0.471921525894081,0.290068014006462,1.11725206781841,0.848841970454517,982274.076282146,2318045.48893529,1072016.6510733,3128390.06829421,"Vekst","Stabil","Sterk økning","Moderat økning","pop_Vekst_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","h) Proporsjonal vekst","e) Moderat arealvekst",1.27689649400626,1.26702632468531,0,34,797,6.2,9.1,0.938690384,3,0.061309616,52.2869485739284,13.745127295737,0.727292612238202,185855.219048018,1280648757.93723,"Ringsaker",0,"0"
4227,"Kvinesdal",1628413.04347825,2152526.08695652,2819579.05138339,5554,5883,6174,0.52411304347827,0.66705296442687,329,291,293.196442830077,365.889186972042,456.685949365628,0.261926279057079,0.172577637660032,1.01184709147497,0.794804197222065,108093.14123699,416019.90224128,119303.245844491,547749.718582379,"Stabil","Stabil","Moderat økning","Moderat økning","pop_Stabil_bpc_Moderat økning","pop_Stabil_bpc_Moderat økning","e) Moderat arealvekst","e) Moderat arealvekst",1.24793187611793,1.24815371873923,1,42,650,2.1,-1.1,0.922407146,5,0.077592854,47.916602348389,1.94910108775071,0.102909244337419,243977.365933636,967593706.315823,"Kvinesdal",1,"1"
