"kommunenummer","iKomNr","KomNavn","Kyst","iFylke","SSB_Sentralitet","BefUtvSiste10y","SyssUtvSiste10y","Herfindahlsindeksen_omvendt","SSB_Sentr_Kl","Herfindahlsindeksen","rSkog","rDyrketMark","rUrbant","SHAPE_Length","SHAPE_Area"
"5518",5518,"Loabák - Lavangen",1,55,517,-2.9,3.8,0.886369363,6,0.113630637,35.5897214690658,1.34951934927286,0.0400542272615233,132297.409199178,301482195.573919
"3909",3909,"Larvik",1,39,842,5.9,4.7,0.950824686,3,0.049175314,56.6685259943464,10.2370170081212,1.1127603452677,521977.530689535,813885213.416175
"1124",1124,"Sola",1,11,878,15.2,16.9,0.844654282,2,0.155345718,1.00008000640051,11.8849507960637,2.02416193295464,172505.07860164,69487726.1502498
"1122",1122,"Gjesdal",1,11,792,11.4,12.3,0.924138704,3,0.075861296,16.5429615795942,3.12534916758448,0.443742118788807,185073.954219178,621349481.689855
"3114",3114,"Våler (Østfold)",0,31,824,24,19.7,0.91542815,3,0.08457185,74.8316793150418,13.8548355711228,0.513718622300058,79830.7773167814,257086301.029476
"5055",5055,"Heim",1,50,588,-3.4,0.9,0.926915354,5,0.073084646,40.6382738181759,3.27858261866693,0.113862105722176,546809.791213885,1026102671.38884
"4613",4613,"Bømlo",1,46,644,4.2,1.1,0.928604691,5,0.071395309,10.6553752562677,0.738318884079915,0.24655294858567,1143110.26982361,248203715.9509
"1547",1547,"Aukra",1,15,616,9.4,-3.9,0.915508158,5,0.084491842,3.76173518938168,2.36322434444804,0.236322434444804,275980.891882557,60859779.4262919
"3328",3328,"Ål",0,33,635,2.1,1.4,0.94422361,5,0.05577639,32.926517898177,2.11918500740438,0.149789783655892,214160.516660049,1177790139.01724
"1838",1838,"Gildeskål",1,18,478,-3.9,8,0.880997475,6,0.119002525,12.9665501747379,0.603095356964553,0.0246297220835414,963204.407916275,664197682.407462
"4621",4621,"Voss",1,46,720,7.9,4.5,0.944146483,4,0.055853517,36.1456786206963,2.46915360471432,0.171595841324316,325683.085404626,2051179157.43587
"3336",3336,"Rollag",0,33,578,0.8,8.5,0.93281296,5,0.06718704,75.2003205128205,2.30146011396011,0.0333867521367521,100330.940711618,450069606.608532
"1531",1531,"Sula",1,15,737,14.8,17.2,0.9293661,4,0.0706339,21.3385378547613,2.01675205334634,2.00048792388387,78368.4733290157,58761410.2506516
"1566",1566,"Surnadal",1,15,607,-0.3,1,0.947016105,5,0.052983895,32.2699622911563,2.65475764498638,0.0674355233822356,318762.32714713,1368194100.5317
"5532",5532,"Balsfjord",1,55,557,-0.8,-4.9,0.92858613,6,0.07141387,37.7427930022794,2.92873095980387,0.0482284651290973,416387.784441646,1496838597.4812
"1828",1828,"Nesna",1,18,494,-4.9,-9.6,0.896732406,6,0.103267594,17.183853830495,3.46060275060821,0.171292388659947,283951.324214757,183081535.289947
"3430",3430,"Os",0,34,551,-9.4,2.8,0.919575901,6,0.080424099,40.1720492118416,3.00557477893118,0.0278738946559016,221587.424783961,1040498085.19854
"4214",4214,"Froland",0,42,726,13.8,58.8,0.891413785,4,0.108586215,80.7800912278524,1.3404908927297,0.173767337946442,189581.884045539,646342404.737658
"1119",1119,"Hå",1,11,773,11.4,10.5,0.916427142,4,0.083572858,3.71248250849587,26.8298255133221,1.35077248193734,134573.673399535,259624540.809482
"4028",4028,"Kviteseid",0,40,601,-3.2,-14.8,0.924567309,5,0.0754326910000001,73.4568859655313,1.44677968015583,0.0494022329809307,163646.736485748,710280863.280131
"4631",4631,"Alver",1,46,731,10.1,5.9,0.94358825,4,0.05641175,33.8670895789635,3.0357599631657,0.482938558346549,1244848.21216511,683293392.20928
"5618",5618,"Måsøy",1,56,397,-9.8,-6.4,0.828122265,6,0.171877735,0.306417813691939,0.00866864663581131,0.0131914187936259,867642.731302416,1139339057.34635
"3901",3901,"Horten",1,39,874,4.1,4.6,0.899859989,2,0.100140011,22.8550492938982,14.6482813749001,4.57633892885691,100733.464319656,71018972.8970847
