"kommunenummer","iKomNr","KomNavn","Kyst","iFylke","SSB_Sentralitet","BefUtvSiste10y","SyssUtvSiste10y","Herfindahlsindeksen_omvendt","SSB_Sentr_Kl","Herfindahlsindeksen","rSkog","rDyrketMark","rUrbant","SHAPE_Length","SHAPE_Area"
"5542",5542,"Skjervøy",1,55,556,-4,0.3,0.840228095,6,0.159771905,5.34647723977965,0.15527850262556,0.0515447311620115,311007.449329873,474091621.108245
"1871",1871,"Andøy",1,18,517,-8.9,-14.5,0.934918462,6,0.065081538,9.43791358979198,1.53716905206894,0.11323304700389,525848.305541753,655679886.883145
"3209",3209,"Ullensaker",0,32,920,35,19.9,0.916112293,2,0.083887707,48.0430993503407,37.0266201869751,3.3433687212803,99683.117773837,252521830.35006
"1160",1160,"Vindafjord",1,11,643,2.7,5.1,0.935337958,5,0.064662042,43.4610407435003,6.67294093042103,0.232670614224279,300587.483252693,624201498.478088
"5031",5031,"Malvik",1,50,807,12.1,4.9,0.925694843,3,0.074305157,53.7793820635125,6.03755747496885,1.54269262171802,87136.8231656476,168488917.212015
"1870",1870,"Sortland - Suortá",1,18,670,4.8,5.5,0.930707658,4,0.069292342,28.3755100547108,2.09968710545095,0.295511518544949,605698.750839877,721381328.406916
"5628",5628,"Deatnu - Tana",1,56,490,-3.3,1.3,0.944053729,6,0.055946271,26.8813731687876,0.668581480361707,0.0121393691192773,639726.976697614,4070421412.32825
"3443",3443,"Vestre Toten",0,34,789,4.9,8.3,0.890620549,3,0.109379451,61.6157989228007,23.706363455017,2.07061639736685,105971.341041612,250856798.906091
"4614",4614,"Stord",1,46,746,5.2,4.8,0.861275288,4,0.138724712,35.9341097285569,2.34246999955719,2.76314041535668,169406.917232746,144614925.367638
"1557",1557,"Gjemnes",1,15,576,4.4,9.6,0.932902042,5,0.067097958,43.9035274118147,5.11474713132172,0.0743731406714832,178168.423480838,382568884.483065
"3423",3423,"Stor-Elvdal",0,34,538,-13.6,-7.5,0.918000769,6,0.081999231,65.9035816360925,1.06982735932255,0.0535606273981078,295237.273017534,2166712751.42062
"3107",3107,"Fredrikstad",1,31,870,9.9,-2.2,0.954412189,2,0.045587811,27.6639124369568,12.6032836141217,4.13849840826984,468503.235819588,292707710.966618
"4204",4204,"Kristiansand",1,42,832,13.6,9,0.957020606,3,0.0429793939999999,55.0628217191565,2.46526816848398,2.56268334532573,877384.534938249,646893575.125709
"5538",5538,"Storfjord - Omasvuotna - Omasvuono",1,55,516,-5.5,12,0.935298279,6,0.064701721,17.8170764372076,0.422332546391175,0.0323912867438659,253035.034848264,1543217173.88172
"3442",3442,"Østre Toten",0,34,747,0.9,-4.8,0.932898415,4,0.067101585,60.1116305526423,19.8304211031516,0.743018646568427,117997.917789706,562771843.357209
"1875",1875,"Hábmer - Hamarøy",1,18,405,-5.5,-1.1,0.914455186,6,0.085544814,22.5481981182318,0.401207172022013,0.0255636428191017,1307058.77179379,2018958992.12959
"5503",5503,"Harstad - Hárstták",1,55,738,2.5,2.8,0.945722381,4,0.0542776190000001,13.810363198674,1.49633644220524,0.44002157355398,575581.304682654,444960351.995391
"5540",5540,"Gáivuotna - Kåfjord - Kaivuono",1,55,431,-9.4,-0.1,0.911015823,6,0.0889841770000001,12.807179551547,0.947650597548839,0.030482611463255,229352.777456221,991607788.552653
"4648",4648,"Bremanger",1,46,476,-11.7,-6.9,0.890089514,6,0.109910486,16.0973065322075,0.727228744434281,0.0476251672550517,615756.582147281,837731373.609625
"3232",3232,"Nittedal",0,32,886,15.8,2.8,0.908412822,2,0.091587178,77.7736011169584,9.58543658038879,3.04478573729997,90038.3790815831,186320588.354441
"4620",4620,"Ulvik",1,46,529,-5.1,-20.1,0.905552055,6,0.094447945,13.4748734973629,0.72019490776686,0.036143610612835,210588.686337959,724666020.699044
"5043",5043,"Raarvihke - Røyrvik",0,50,389,-14.7,-7.5,0.895727788,6,0.104272212,26.624556709618,0.281434178477227,0.00946527506089327,215307.465837143,1583650763.05096
"1826",1826,"Aarborte - Hattfjelldal",0,18,453,-13.1,-6.5,0.861597881,6,0.138402119,32.4838415258815,0.684336990332855,0.0115484195429061,276479.245752703,2682324605.76854
"5603",5603,"Hammerfest - Hámmerfeasta",1,56,682,1.8,-0.7,0.947231272,4,0.052768728,5.35454969504414,0.076569004514931,0.0572067275111553,1145045.19287483,2698144925.6283
"5512",5512,"Dielddanuorri - Tjeldsund",1,55,542,-0.3,-1,0.924070053,6,0.075929947,33.6963834745556,1.75609660969022,0.0702048616866718,448993.235827772,813866224.27324
"5622",5622,"Porsanger - Porsángu - Porsanki",1,56,543,-2.6,-4.7,0.938554796,6,0.061445204,17.2351337152578,0.20897439104729,0.0221816392731761,980891.005299421,4886241432.70371
"5636",5636,"Unjárga - Nesseby",1,56,476,-2,-7.8,0.888663086,6,0.111336914,27.8304364289291,0.22597075816243,0.00305365889408689,323920.675353165,1445258646.98189
